81209558,364496293,6,5105,0,251,1,149,0,43,0,0,28,0,2482,342,44,5,8795,177,584,329,6,0,1,0.0,118.0,0,6.0,3.0,5.0,34.0,0.0,0.0,26.0,1.0,0.0,57.0,12.0,2,2,1
46955464,135664820,5,694,0,15,1,70,0,15,0,0,12,0,271,81,16,2,125830,2725,3631,667,152,0,9,0.0,46.0,0,5.0,4.0,1.0,9.0,0.0,0.0,188.0,5.0,4.0,18.0,6.0,16,16,1
847362,22143560,4,453,0,4,1,33,0,10,0,0,9,0,210,80,11,1,42325,1340,961,237,26,1,3,0.0,45.0,0,4.0,3.0,0.0,13.0,0.0,0.0,178.0,4.0,5.0,21.0,8.0,2,2,1
36863326,171163460,9,5730,0,482,1,152,1,43,1,1,29,2,2289,181,99,3,169016,3867,5053,1642,9,0,1,0.0,133.0,1.0,9.0,3.0,11.0,37.0,0.0,0.0,102.0,3.0,2.0,53.0,6.0,7,1,1
120873,164416522,8,3734,0,5,1,69,0,33,0,0,26,0,1670,402,409,9,48178,878,1650,388,8,0,1,0.0,113.0,0,8.0,2.0,0.0,54.0,0.0,0.0,124.0,4.0,2.0,50.0,15.0,18,17,1
25900591,250950595,12,5299,0,84,1,96,0,6,0,0,5,0,2718,402,76,1,659009,13668,11931,1585,18,0,1,0.0,883.0,0,12.0,16.0,14.0,55.0,0.0,0.0,415.0,7.0,8.0,453.0,80.0,3,1,1
140070019,234145372,1,2844,0,61,1,68,0,34,0,0,26,0,1386,223,26,10,2929,96,283,112,2,0,1,0.0,83.0,0,1.0,2.0,1.0,41.0,0.0,0.0,26.0,2.0,0.0,40.0,8.0,1,1,1
3762207,265912173,2,1857,0,4,0,76,0,16,0,0,8,0,677,157,4,0,267,13,30,11,2,0,0,0.0,116.0,0,0,4.0,0.0,24.0,0.0,0.0,24.0,2.0,1.0,42.0,19.0,1,1,1
4710740,245025824,3,4511,1,105,0,103,0,46,0,0,22,0,1706,234,16,0,102044,1863,2588,997,6,1,0,0.0,98.0,0,0,2.0,2.0,43.0,0.0,0.0,102.0,2.0,1.0,37.0,10.0,2,2,1
7668271,234571396,3,1481,0,1,2,20,0,11,1,1,11,0,566,132,8,2,9870,218,317,134,49,1,5,0.0,134.0,0,1.0,1.0,0.0,74.0,0.0,0.0,73.0,2.0,1.0,51.0,12.0,6,16,1
