user_id,item_id
3878869,233394005
74645093,107938158
36517589,345834143
40029310,292129249
53933746,81663108
120083395,123823836
120083395,245058991
24471517,67327409
99693145,401148181
87899471,95125040
85064035,199843428
124171542,259041464
20626308,185344258
105737977,139974552
129236851,22248003
54133893,186919564
119687381,369772827
73597094,195429719
76712733,317980631
70351058,275034968
2763135,295910231
45612771,10771123
45612771,10949806
92316150,63051230
45612771,246883023
67878902,35500128
137645385,67318107
117190540,355627917
110857935,338839400
38353022,201061280
68140506,240821849
38353022,220790761
13201221,182299589
81997056,32112189
81997056,391449586
41807643,77034807
4095217,197279143
30052966,53914718
22273841,386300527
98338449,214297443
120438029,79631373
98626231,357874394
58439651,66121599
80560285,283550817
96672008,356025374
68709423,294223538
17048049,309928278
9804081,348445324
17048049,294148262
80560285,37137329
140483725,289242569
140483725,284565722
80560285,247872092
96581322,86743819
96581322,256280133
44247352,125806164
45324981,340333175
141630935,271533253
107034437,300001029
71678956,377774613
71678956,320829582
71678956,274667641
28692321,291598115
28692321,256639497
136788174,149453679
124559448,225019321
115949891,278526395
129599357,115412130
78890087,2609092
85063376,351286916
72956422,200640714
45149630,334875419
30080377,399767018
30080377,403499233
127540574,340953277
130107482,56393303
130107482,27279807
130107482,391724026
37401113,209602563
30080377,67013638
30080377,153567470
30080377,59680633
115454693,143228713
70515163,13753153
112503956,170766770
30080377,365231322
30080377,257726440
81083913,50848358
87448522,64480666
6396227,61936991
6396227,206535683
61548569,55276599
130348050,128110593
56920355,183480747
99093727,31849247
72335968,120861635
142128951,134527351
142368840,184682599
142368840,194788234
92680330,326784750
82468751,99539313
82468751,200917301
94883791,312164142
25756303,175406463
133887741,339868021
103318450,209903973
22884828,321305022
125615959,52834973
90621059,393786863
35048740,353100779
81295365,340543372
64387588,172637131
76917566,111031633
77053167,399761997
77053167,187816537
60441587,375959057
113163428,115605516
131424381,397516037
56199602,283142024
56199602,168083855
105218865,349498202
65982317,387927422
117184380,246430160
26195311,311170274
47035700,116127955
22082857,348175346
7283064,71569503
22082857,302550809
7283064,266232426
7283064,283507213
7283064,69126183
7283064,350953076
51402536,8928485
88148961,43418519
88148961,293461069
7283064,151080985
126382145,207858648
67728629,146504087
136290703,117570915
